,Unnamed: 0,Pokemon,ClusterPokemon,TipoDominante
199,199,Entei,12,fire
200,200,Escavalier,10,poison
201,201,Espeon,9,ice
202,202,Espurr,6,ice
203,203,Excadrill,16,poison
204,204,Exeggcute,11,poison
205,205,Exeggutor,11,poison
206,206,Exploud,13,ice
207,207,Farfetch'd,1,poison
208,208,Fearow,1,flying
209,209,Feebas,14,dragon
210,210,Fennekin,12,fire
211,211,Feraligatr,14,dragon
212,212,Ferroseed,4,poison
213,213,Ferrothorn,4,poison
214,214,Finneon,15,water
215,215,Flaaffy,3,electric
216,216,Flabebe,6,grass
217,217,Flareon,12,fire
218,218,Fletchinder,1,flying
219,219,Fletchling,1,flying
220,220,Floatzel,15,ice
221,221,Floette,6,grass
222,222,Floette-Eternal,6,grass
223,223,Florges,6,grass
224,224,Flygon,14,dragon
225,225,Foongus,8,poison
226,226,Forretress,4,rock
227,227,Fraxure,14,dragon
228,228,Frillish,15,poison
229,229,Froakie,0,rock
230,230,Frogadier,0,ice
231,231,Froslass,9,ice
232,232,Furfrou,9,ice
233,233,Furret,9,ice
234,234,Gabite,14,dragon
235,235,Gallade,6,ice
236,236,Galvantula,10,poison
237,237,Garbodor,8,poison
238,238,Gardevoir,6,ice
239,239,Gastly,8,poison
240,240,Gastrodon,16,poison
241,241,Genesect,10,poison
242,242,Gengar,8,poison
243,243,Geodude,16,rock
244,244,Gible,14,dragon
245,245,Gigalith,4,rock
246,246,Girafarig,9,ice
247,247,Giratina,14,dragon
248,248,Giratina-Origin,14,dragon
249,249,Glaceon,9,ice
250,250,Glalie,15,ice
251,251,Glameow,9,ice
252,252,Gligar,8,poison
253,253,Gliscor,8,poison
254,254,Gloom,2,poison
255,255,Gogoat,16,poison
256,256,Golbat,1,poison
257,257,Goldeen,15,poison
258,258,Golduck,15,water
259,259,Golem,16,rock
260,260,Golett,4,rock
261,261,Golurk,4,rock
262,262,Goodra,14,poison
263,263,Goomy,14,poison
264,264,Gorebyss,15,water
265,265,Gothita,11,dark
266,266,Gothitelle,11,dark
267,267,Gothorita,11,dark
268,268,Gourgeist,16,poison
269,269,Gourgeist-Large,5,bug
270,270,Gourgeist-Small,5,bug
271,271,Gourgeist-Super,5,bug
272,272,Granbull,13,ice
273,273,Graveler,16,rock
274,274,Greninja,0,water
275,275,Grimer,8,poison
276,276,Grotle,2,grass
277,277,Grovyle,2,grass
278,278,Growlithe,12,fire
279,279,Grumpig,9,ice
280,280,Gulpin,8,poison
281,281,Gurdurr,16,poison
282,282,Gyarados,14,dragon
283,283,Happiny,11,ice
284,284,Hariyama,16,poison
285,285,Haunter,8,poison
286,286,Hawlucha,1,flying
287,287,Haxorus,14,dragon
288,288,Heatmor,12,fire
289,289,Heliolisk,3,electric
290,290,Helioptile,3,electric
291,291,Heracross,16,rock
292,292,Herdier,13,ice
293,293,Hippopotas,16,rock
294,294,Hippowdon,13,rock
295,295,Hitmonchan,16,rock
296,296,Hitmonlee,16,poison
297,297,Hitmontop,16,poison
298,298,Honchkrow,1,flying
299,299,Honedge,4,poison
300,300,Ho-Oh,1,flying
301,301,Hoopa,11,ice
302,302,Hoopa-Unbound,11,ice
303,303,Hoothoot,1,flying
304,304,Hoppip,2,poison
305,305,Horsea,14,dragon
306,306,Houndoom,12,poison
307,307,Houndour,12,poison
308,308,Huntail,15,ice
309,309,Hydreigon,14,dragon
310,310,Hypno,9,poison
311,311,Igglybuff,11,ground
312,312,Illumise,10,bug
313,313,Inkay,8,poison
314,314,Ivysaur,2,poison
315,315,Jellicent,15,poison
316,316,Jigglypuff,6,ice
317,317,Jirachi,11,ground
318,318,Jolteon,9,ice
319,319,Joltik,10,poison
320,320,Jumpluff,2,poison
321,321,Jynx,9,ice
322,322,Kabuto,16,rock
323,323,Kabutops,16,rock
324,324,Kadabra,11,ground
325,325,Kakuna,8,poison
326,326,Kangaskhan,13,rock
327,327,Karrablast,10,poison
328,328,Kecleon,13,rock
329,329,Keldeo,8,poison
330,330,Kingdra,14,dragon
331,331,Kingler,0,rock
332,332,Kirlia,6,ice
333,333,Klang,3,ground
334,334,Klefki,6,fairy
335,335,Klink,3,ground
336,336,Klinklang,3,ground
337,337,Koffing,8,poison
338,338,Krabby,0,rock
339,339,Kricketot,10,bug
340,340,Kricketune,10,bug
341,341,Krokorok,16,rock
342,342,Krookodile,14,rock
343,343,Kyogre,0,rock
344,344,Kyurem,14,dragon
345,345,Kyurem-Black,14,dragon
346,346,Kyurem-White,14,dragon
347,347,Lairon,16,rock
348,348,Lampent,12,poison
349,349,Landorus,4,rock
350,350,Landorus-Therian,4,rock
351,351,Lanturn,3,water
352,352,Lapras,0,ice
353,353,Larvesta,10,bug
354,354,Larvitar,7,rock
355,355,Latias,14,dragon
356,356,Latios,14,dragon
357,357,Leafeon,2,grass
358,358,Leavanny,10,poison
359,359,Ledian,10,bug
360,360,Ledyba,10,bug
361,361,Lickilicky,13,rock
362,362,Lickitung,13,rock
363,363,Liepard,9,ice
364,364,Lileep,16,poison
365,365,Lilligant,2,grass
366,366,Lillipup,13,ice
367,367,Linoone,9,ice
368,368,Litleo,12,fire
369,369,Litwick,12,poison
370,370,Lombre,15,ice
371,371,Lopunny,9,ice
372,372,Lotad,15,ice
373,373,Loudred,13,ice
374,374,Lucario,7,poison
375,375,Ludicolo,0,ice
376,376,Lugia,14,dragon
377,377,Lumineon,15,water
378,378,Lunatone,4,rock
379,379,Luvdisc,15,water
380,380,Luxio,3,ice
381,381,Luxray,3,electric
382,382,Machamp,13,poison
383,383,Machoke,13,poison
384,384,Machop,13,poison
385,385,Magby,12,fire
386,386,Magcargo,16,rock
387,387,Magikarp,5,bug
388,388,Magmar,12,fire
389,389,Magmortar,13,rock
390,390,Magnemite,11,ground
391,391,Magneton,3,ground
392,392,Magnezone,3,ground
393,393,Makuhita,16,poison
394,394,Malamar,8,poison
395,395,Mamoswine,0,ice
396,396,Manaphy,15,poison
397,397,Mandibuzz,1,flying
398,398,Manectric,3,electric
399,399,Mankey,16,poison
400,400,Mantine,0,poison
401,401,Mantyke,15,poison
402,402,Maractus,2,poison
403,403,Mareep,3,electric
404,404,Marill,15,water
405,405,Marowak,13,ice
406,406,Marshtomp,0,ice
407,407,Masquerain,10,bug
408,408,Mawile,7,ice
409,409,Medicham,4,poison
410,410,Meditite,4,poison
411,411,Meganium,2,grass
412,412,Meloetta,11,ice
413,413,Meowstic-F,6,ice
414,414,Meowstic-M,11,ice
415,415,Meowth,9,ice
416,416,Metagross,4,rock
417,417,Metang,4,rock
418,418,Metapod,5,bug
419,419,Mew,7,poison
420,420,Mewtwo,7,poison
421,421,Mienfoo,16,poison
422,422,Mienshao,16,poison
423,423,Mightyena,9,poison
424,424,Milotic,14,dragon
425,425,Miltank,13,ice
426,426,Mime Jr.,2,poison
427,427,Minccino,9,poison
428,428,Minun,3,ice
429,429,Misdreavus,11,ice
430,430,Mismagius,11,ice
431,431,Moltres,1,fire
432,432,Monferno,12,poison
433,433,Mothim,10,poison
434,434,Mr. Mime,11,ground
435,435,Mudkip,0,poison
436,436,Muk,8,poison
437,437,Munchlax,13,rock
438,438,Munna,4,ground
439,439,Murkrow,1,flying
440,440,Musharna,4,ground
441,441,Natu,1,flying
442,442,Nidoking,8,poison
443,443,Nidoqueen,8,poison
444,444,Nidoran-F,8,poison
445,445,Nidoran-M,8,poison
446,446,Nidorina,8,poison
447,447,Nidorino,8,poison
448,448,Nincada,10,bug
449,449,Ninetales,12,fire
450,450,Ninjask,10,bug
451,451,Noctowl,1,flying
452,452,Noibat,1,ice
453,453,Noivern,14,ice
454,454,Nosepass,4,rock
455,455,Numel,16,rock
456,456,Nuzleaf,7,rock
457,457,Octillery,15,poison
458,458,Oddish,2,poison
459,459,Omanyte,0,rock
460,460,Omastar,16,rock
461,461,Onix,7,rock
462,462,Oshawott,15,water
463,463,Pachirisu,3,poison
464,464,Palkia,14,dragon
465,465,Palpitoad,8,poison
466,466,Pancham,9,ice
467,467,Pangoro,7,poison
468,468,Panpour,0,ice
469,469,Pansage,6,ice
470,470,Pansear,12,fire
471,471,Paras,2,poison
472,472,Parasect,2,poison
473,473,Patrat,2,poison
474,474,Pawniard,7,poison
475,475,Pelipper,15,water
476,476,Persian,9,ice
477,477,Petilil,2,grass
478,478,Phanpy,13,ice
479,479,Phantump,2,poison
480,480,Phione,15,poison
481,481,Pichu,6,ice
482,482,Pidgeot,1,flying
483,483,Pidgeotto,1,flying
484,484,Pidgey,1,flying
485,485,Pidove,1,flying
486,486,Pignite,12,poison
487,487,Pikachu,6,ice
488,488,Piloswine,0,ice
489,489,Pineco,4,poison
490,490,Pinsir,16,rock
491,491,Piplup,15,ice
492,492,Plusle,3,ice
493,493,Politoed,15,ice
494,494,Poliwag,15,water
495,495,Poliwhirl,15,ice
496,496,Poliwrath,0,poison
497,497,Ponyta,12,fire
498,498,Poochyena,9,poison
499,499,Porygon,11,ground
500,500,Porygon2,11,ground
501,501,Porygon-Z,11,ground
502,502,Primeape,16,poison
503,503,Prinplup,0,ice
504,504,Probopass,4,rock
505,505,Psyduck,15,water
506,506,Pumpkaboo,16,poison
507,507,Pumpkaboo-Large,5,bug
508,508,Pumpkaboo-Small,5,bug
509,509,Pumpkaboo-Super,5,bug
510,510,Pupitar,7,rock
511,511,Purrloin,9,ice
512,512,Purugly,9,ice
513,513,Pyroar,12,fire
514,514,Quagsire,0,poison
515,515,Quilava,12,fire
516,516,Quilladin,2,poison
517,517,Qwilfish,8,poison
518,518,Raichu,6,ice
519,519,Raikou,4,poison
520,520,Ralts,6,ice
521,521,Rampardos,7,rock
522,522,Rapidash,12,poison
523,523,Raticate,2,poison
524,524,Rattata,2,poison
525,525,Regice,4,rock
526,526,Regigigas,4,rock
527,527,Regirock,4,rock
528,528,Registeel,4,rock
529,529,Relicanth,0,rock
530,530,Remoraid,15,water
531,531,Reshiram,14,dragon
532,532,Reuniclus,4,rock
533,533,Rhydon,7,rock
534,534,Rhyhorn,7,rock
535,535,Rhyperior,7,rock
536,536,Riolu,16,poison
537,537,Roggenrola,4,rock
538,538,Roselia,8,poison
539,539,Roserade,2,poison
540,540,Rotom,3,poison
541,541,Rotom-Fan,3,poison
542,542,Rotom-Frost,3,poison
543,543,Rotom-Heat,3,poison
544,544,Rotom-Mow,3,poison
545,545,Rotom-Wash,3,poison
546,546,Rufflet,1,rock
547,547,Sableye,11,poison
548,548,Salamence,14,dragon
549,549,Samurott,15,water
550,550,Sandile,16,poison
551,551,Sandshrew,16,poison
552,552,Sandslash,16,poison
553,553,Sawk,13,poison
554,554,Sawsbuck,9,grass
555,555,Scatterbug,8,poison
556,556,Sceptile,2,grass
557,557,Scizor,10,poison
558,558,Scolipede,8,poison
559,559,Scrafty,14,poison
560,560,Scraggy,14,poison
561,561,Scyther,10,bug
562,562,Seadra,14,dragon
563,563,Seaking,15,poison
564,564,Sealeo,0,ice
565,565,Seedot,2,grass
566,566,Seel,15,ice
567,567,Seismitoad,8,poison
568,568,Sentret,9,ice
569,569,Serperior,2,grass
570,570,Servine,2,grass
571,571,Seviper,8,poison
572,572,Sewaddle,10,bug
573,573,Sharpedo,8,poison
574,574,Shaymin,2,grass
575,575,Shaymin-Sky,2,grass
576,576,Shedinja,10,bug
577,577,Shelgon,14,dragon
578,578,Shellder,9,ice
579,579,Shellos,15,poison
580,580,Shelmet,10,poison
581,581,Shieldon,4,rock
582,582,Shiftry,7,rock
583,583,Shinx,3,ice
584,584,Shroomish,8,poison
585,585,Shuckle,16,rock
586,586,Shuppet,11,poison
587,587,Sigilyph,11,flying
588,588,Silcoon,8,poison
589,589,Simipour,0,ice
590,590,Simisage,6,ice
591,591,Simisear,13,fire
592,592,Skarmory,1,rock
593,593,Skiddo,16,poison
594,594,Skiploom,2,poison
595,595,Skitty,9,ice
596,596,Skorupi,8,poison
597,597,Skrelp,8,poison
598,598,Skuntank,8,poison
599,599,Slaking,13,rock
600,600,Slakoth,13,poison
601,601,Sliggoo,14,poison
602,602,Slowbro,0,ice
603,603,Slowking,0,ice
604,604,Slowpoke,15,ice
605,605,Slugma,16,rock
606,606,Slurpuff,6,poison
607,607,Smeargle,5,bug
608,608,Smoochum,9,ice
609,609,Sneasel,9,ice
610,610,Snivy,2,grass
611,611,Snorlax,13,rock
612,612,Snorunt,9,ice
613,613,Snover,9,ice
614,614,Snubbull,12,ice
615,615,Solosis,4,ground
616,616,Solrock,4,rock
617,617,Spearow,1,flying
618,618,Spewpa,8,poison
619,619,Spheal,0,ice
620,620,Spinarak,8,poison
621,621,Spinda,13,rock
622,622,Spiritomb,11,poison
623,623,Spoink,9,poison
624,624,Spritzee,6,ice
625,625,Squirtle,0,water
626,626,Stantler,11,poison
627,627,Staraptor,1,flying
628,628,Staravia,1,flying
629,629,Starly,1,flying
630,630,Starmie,15,ground
631,631,Staryu,15,poison
632,632,Steelix,7,rock
633,633,Steelix-Mega,7,rock
634,634,Stoutland,13,ice
635,635,Stunfisk,0,poison
636,636,Stunky,8,poison
637,637,Sudowoodo,16,rock
638,638,Suicune,0,ice
639,639,Sunflora,2,grass
640,640,Sunkern,2,grass
641,641,Surskit,15,poison
642,642,Swablu,6,ice
643,643,Swadloon,10,bug
644,644,Swalot,8,poison
645,645,Swampert,0,rock
646,646,Swanna,15,water
647,647,Swellow,1,flying
648,648,Swinub,0,rock
649,649,Swirlix,6,poison
650,650,Swoobat,1,poison
651,651,Sylveon,6,ice
652,652,Taillow,1,flying
653,653,Talonflame,1,flying
654,654,Tangela,2,poison
655,655,Tangrowth,2,poison
656,656,Tauros,16,rock
657,657,Teddiursa,13,ice
658,658,Tentacool,8,poison
659,659,Tentacruel,8,poison
660,660,Tepig,12,poison
661,661,Terrakion,16,poison
662,662,Throh,16,poison
663,663,Thundurus,3,poison
664,664,Thundurus-Therian,3,poison
665,665,Timburr,16,poison
666,666,Tirtouga,0,rock
667,667,Togekiss,1,flying
668,668,Togepi,9,ice
669,669,Togetic,1,flying
670,670,Torchic,12,fire
671,671,Torkoal,16,poison
672,672,Tornadus,8,poison
673,673,Tornadus-Therian,8,poison
674,674,Torterra,2,rock
675,675,Totodile,15,water
676,676,Toxicroak,8,poison
677,677,Tranquill,1,flying
678,678,Trapinch,16,rock
679,679,Treecko,2,grass
680,680,Trevenant,2,poison
681,681,Tropius,14,dragon
682,682,Trubbish,8,poison
683,683,Turtwig,2,grass
684,684,Tympole,8,poison
685,685,Tynamo,11,ground
686,686,Typhlosion,13,rock
687,687,Tyranitar,14,rock
688,688,Tyrantrum,14,dragon
689,689,Tyrogue,16,poison
690,690,Tyrunt,14,dragon
691,691,Umbreon,9,ice
692,692,Unfezant,1,flying
693,693,Unown,5,bug
694,694,Ursaring,13,ice
695,695,Uxie,12,poison
696,696,Vanillish,15,ice
697,697,Vanillite,15,ice
698,698,Vanilluxe,15,ice
699,699,Vaporeon,15,ice
700,700,Venipede,8,poison
701,701,Venomoth,10,poison
702,702,Venonat,8,poison
703,703,Venusaur,2,poison
704,704,Vespiquen,10,poison
705,705,Vibrava,14,rock
706,706,Victini,12,fire
707,707,Victreebel,10,poison
708,708,Vigoroth,13,rock
709,709,Vileplume,2,poison
710,710,Virizion,2,poison
711,711,Vivillon,10,poison
712,712,Volbeat,10,bug
713,713,Volcanion,16,poison
714,714,Volcarona,10,poison
715,715,Voltorb,3,poison
716,716,Vullaby,1,flying
717,717,Vulpix,12,fire
718,718,Wailmer,15,water
719,719,Wailord,15,water
720,720,Walrein,0,ice
721,721,Wartortle,0,water
722,722,Watchog,2,poison
723,723,Weavile,9,ice
724,724,Weedle,8,poison
725,725,Weepinbell,10,poison
726,726,Weezing,8,poison
727,727,Whimsicott,2,poison
728,728,Whirlipede,8,poison
729,729,Whiscash,0,rock
730,730,Whismur,6,ice
731,731,Wigglytuff,6,ice
732,732,Wingull,15,water
733,733,Wobbuffet,5,bug
734,734,Woobat,1,poison
735,735,Wooper,15,poison
736,736,Wormadam,10,poison
737,737,Wormadam-Sandy,10,poison
738,738,Wormadam-Trash,10,poison
739,739,Wurmple,8,poison
740,740,Wynaut,5,bug
741,741,Xatu,1,flying
742,742,Yamask,11,poison
743,743,Yanma,10,bug
744,744,Yanmega,10,bug
745,745,Yveltal,14,dragon
746,746,Zangoose,13,ice
747,747,Zapdos,1,flying
748,748,Zebstrika,3,electric
749,749,Zekrom,14,dragon
750,750,Zigzagoon,9,ice
751,751,Zoroark,9,poison
752,752,Zorua,9,ice
753,753,Zubat,1,poison
754,754,Zweilous,14,dragon
755,755,Zygarde,14,dragon
